  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 63-415 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -6.000  -0.3439   0.01008   0.00355  -0.0707   0.7030   0.0364
  -5.750  -0.3160   0.00990   0.00335  -0.0709   0.6965   0.0388
  -5.500  -0.2880   0.00973   0.00316  -0.0711   0.6904   0.0421
  -5.250  -0.2598   0.00954   0.00298  -0.0713   0.6845   0.0470
  -5.000  -0.2316   0.00935   0.00280  -0.0715   0.6782   0.0543
  -4.750  -0.2035   0.00915   0.00262  -0.0717   0.6725   0.0658
  -4.500  -0.1751   0.00892   0.00244  -0.0720   0.6663   0.0815
  -4.250  -0.1468   0.00870   0.00228  -0.0723   0.6603   0.1024
  -4.000  -0.1184   0.00844   0.00211  -0.0727   0.6550   0.1308
  -3.750  -0.0899   0.00816   0.00195  -0.0730   0.6488   0.1654
  -3.500  -0.0615   0.00787   0.00178  -0.0734   0.6427   0.2093
  -3.250  -0.0328   0.00755   0.00162  -0.0739   0.6376   0.2597
  -2.750   0.0248   0.00697   0.00137  -0.0749   0.6261   0.3663
  -2.500   0.0539   0.00675   0.00131  -0.0753   0.6207   0.4160
  -2.250   0.0832   0.00663   0.00127  -0.0757   0.6147   0.4469
  -2.000   0.1123   0.00657   0.00124  -0.0760   0.6093   0.4734
  -1.750   0.1417   0.00653   0.00123  -0.0763   0.6044   0.4887
  -1.500   0.1711   0.00651   0.00122  -0.0767   0.5986   0.5027
  -1.000   0.2296   0.00649   0.00122  -0.0772   0.5879   0.5247
  -0.750   0.2590   0.00650   0.00122  -0.0775   0.5827   0.5321
  -0.500   0.2881   0.00653   0.00123  -0.0778   0.5772   0.5388
  -0.250   0.3174   0.00653   0.00124  -0.0781   0.5721   0.5461
   0.000   0.3467   0.00655   0.00126  -0.0784   0.5666   0.5531
   0.250   0.3758   0.00658   0.00128  -0.0786   0.5611   0.5593
   0.500   0.4050   0.00661   0.00131  -0.0789   0.5558   0.5658
   0.750   0.4342   0.00664   0.00134  -0.0792   0.5497   0.5713
   1.250   0.4923   0.00672   0.00142  -0.0797   0.5377   0.5829
   1.500   0.5212   0.00677   0.00146  -0.0799   0.5315   0.5886
   1.750   0.5501   0.00682   0.00152  -0.0801   0.5257   0.5941
   2.000   0.5792   0.00686   0.00158  -0.0804   0.5197   0.5999
   2.250   0.6079   0.00693   0.00164  -0.0806   0.5129   0.6055
   2.500   0.6367   0.00698   0.00171  -0.0808   0.5057   0.6118
   2.750   0.6648   0.00709   0.00179  -0.0809   0.4943   0.6180
   3.000   0.6932   0.00719   0.00187  -0.0811   0.4817   0.6234
   3.250   0.7216   0.00727   0.00197  -0.0812   0.4718   0.6293
   3.500   0.7494   0.00740   0.00207  -0.0813   0.4582   0.6359
   3.750   0.7766   0.00759   0.00220  -0.0813   0.4362   0.6420
   4.000   0.8033   0.00782   0.00235  -0.0812   0.4128   0.6484
   4.250   0.8298   0.00806   0.00251  -0.0811   0.3876   0.6546
   4.500   0.8535   0.00855   0.00279  -0.0806   0.3386   0.6607
   4.750   0.8760   0.00914   0.00315  -0.0799   0.2858   0.6677
   5.000   0.8999   0.00960   0.00345  -0.0794   0.2498   0.6741
   5.250   0.9233   0.01008   0.00379  -0.0789   0.2143   0.6804
   5.500   0.9464   0.01058   0.00414  -0.0783   0.1816   0.6875
   5.750   0.9689   0.01110   0.00452  -0.0777   0.1488   0.6939
   6.000   0.9910   0.01163   0.00491  -0.0770   0.1185   0.7011
   6.250   1.0132   0.01213   0.00530  -0.0763   0.0946   0.7079
   6.500   1.0360   0.01255   0.00567  -0.0756   0.0777   0.7148
   6.750   1.0579   0.01302   0.00607  -0.0749   0.0620   0.7221
   7.000   1.0800   0.01346   0.00645  -0.0741   0.0498   0.7285
   7.250   1.1020   0.01387   0.00684  -0.0733   0.0415   0.7359
   7.750   1.1459   0.01462   0.00760  -0.0718   0.0328   0.7501
   8.000   1.1675   0.01498   0.00798  -0.0710   0.0305   0.7575
   8.250   1.1887   0.01533   0.00837  -0.0701   0.0287   0.7652
   8.500   1.2085   0.01573   0.00879  -0.0690   0.0271   0.7738
   8.750   1.2274   0.01611   0.00922  -0.0677   0.0257   0.7824
   9.000   1.2441   0.01647   0.00963  -0.0660   0.0246   0.7923
   9.250   1.2593   0.01689   0.01010  -0.0641   0.0234   0.8032
   9.500   1.2733   0.01738   0.01064  -0.0621   0.0222   0.8147
  10.000   1.3022   0.01838   0.01177  -0.0585   0.0205   0.8405
  10.250   1.3156   0.01895   0.01240  -0.0568   0.0194   0.8545
  10.500   1.3277   0.01959   0.01311  -0.0549   0.0185   0.8709
  10.750   1.3384   0.02027   0.01388  -0.0528   0.0177   0.8936
  11.000   1.3467   0.02084   0.01459  -0.0502   0.0170   0.9424
  11.250   1.3607   0.02161   0.01543  -0.0491   0.0161   1.0000
  11.500   1.3731   0.02253   0.01637  -0.0479   0.0152   1.0000
  11.750   1.3850   0.02353   0.01739  -0.0467   0.0144   1.0000
  12.000   1.3972   0.02453   0.01843  -0.0456   0.0138   1.0000
  12.250   1.4086   0.02563   0.01956  -0.0445   0.0131   1.0000
  12.500   1.4192   0.02682   0.02079  -0.0434   0.0125   1.0000
  12.750   1.4292   0.02810   0.02211  -0.0424   0.0121   1.0000
  13.000   1.4385   0.02948   0.02352  -0.0415   0.0117   1.0000
  13.250   1.4482   0.03085   0.02495  -0.0406   0.0114   1.0000
  13.500   1.4573   0.03233   0.02648  -0.0398   0.0111   1.0000
  13.750   1.4657   0.03389   0.02809  -0.0391   0.0109   1.0000
  14.000   1.4734   0.03555   0.02982  -0.0384   0.0106   1.0000
  14.250   1.4806   0.03731   0.03163  -0.0378   0.0104   1.0000
  14.500   1.4873   0.03916   0.03354  -0.0373   0.0102   1.0000
  14.750   1.4932   0.04114   0.03556  -0.0368   0.0100   1.0000
  15.000   1.4981   0.04327   0.03776  -0.0365   0.0098   1.0000
  15.250   1.5022   0.04557   0.04011  -0.0362   0.0096   1.0000
  15.500   1.5051   0.04808   0.04268  -0.0361   0.0094   1.0000
  15.750   1.5099   0.05043   0.04511  -0.0361   0.0093   1.0000
  16.000   1.5141   0.05291   0.04767  -0.0362   0.0092   1.0000
  16.250   1.5172   0.05559   0.05043  -0.0364   0.0091   1.0000
  16.500   1.5199   0.05840   0.05332  -0.0367   0.0091   1.0000
  16.750   1.5220   0.06134   0.05633  -0.0371   0.0089   1.0000
  17.000   1.5231   0.06447   0.05955  -0.0377   0.0089   1.0000
  17.250   1.5241   0.06771   0.06288  -0.0384   0.0088   1.0000
  17.500   1.5244   0.07112   0.06637  -0.0392   0.0087   1.0000
  17.750   1.5235   0.07475   0.07009  -0.0402   0.0086   1.0000
  18.000   1.5218   0.07858   0.07401  -0.0414   0.0086   1.0000
  18.250   1.5196   0.08258   0.07811  -0.0427   0.0085   1.0000
  18.500   1.5166   0.08679   0.08241  -0.0442   0.0084   1.0000
  18.750   1.5130   0.09115   0.08687  -0.0458   0.0084   1.0000
  19.000   1.5085   0.09576   0.09158  -0.0477   0.0083   1.0000
  19.250   1.5033   0.10054   0.09646  -0.0497   0.0082   1.0000
